filename,tool,cutting_depth_ap,tool_diameter_d,diameter_ae,feed_vel_f,revol_N,num_of_inserts_z,feet_per_insert_fz,cut_vel_vc,Power,Energy,time,distance
Trace_080807_110255R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1191.19201346514,11444.9728653731,9.608,0.151966533333333
Trace_080807_110314R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1187.01479175858,11404.8381192165,9.608,0.151966533333333
Trace_080807_110334R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1167.72819752341,11219.532521805,9.608,0.151966533333333
Trace_080807_110702R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1171.8734255359,11259.3598725489,9.608,0.151966533333333
Trace_080807_110721R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1190.79859092612,11441.1928616181,9.608,0.151966533333333
Trace_080807_110741R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1190.60519084287,11439.3346736183,9.608,0.151966533333333
Trace_080807_110800R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1195.5875987513,11487.2056488025,9.608,0.151966533333333
Trace_080807_110819R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1197.02311802289,11500.998117964,9.608,0.151966533333333
Trace_080807_110839R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1195.06442270552,11482.1789733546,9.608,0.151966533333333
Trace_080807_110858R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1196.11799454735,11492.3016916109,9.608,0.151966533333333
Trace_080807_110918R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1192.88741741935,11461.2623065652,9.608,0.151966533333333
